Vardi,Dzimums,Skaits
"","SIEVIETE",2
"-","SIEVIETE",7
"-","VĪRIETIS",18
"A S FARDEEN","VĪRIETIS",1
"AABIDH","VĪRIETIS",1
"AABIJ AZIZ","VĪRIETIS",1
"AABRYN BASTIN","VĪRIETIS",1
"AADA MARIA MIRJAM","SIEVIETE",1
"AADHIL MUHAMMED","VĪRIETIS",1
"AADHILSHA","VĪRIETIS",1
"AADI","VĪRIETIS",1
"AADITYAPRATAP SINGH","VĪRIETIS",1
"AADRIKA","SIEVIETE",1
"AADU","VĪRIETIS",1
"AADVIK","VĪRIETIS",1
"AADYA","SIEVIETE",1
"AADYA TREESA","SIEVIETE",1
"AAERON","VĪRIETIS",1
"AAKARSH","VĪRIETIS",1
"AAKARSHAK","VĪRIETIS",1
"AAKASH PANDIYAN","VĪRIETIS",1
"AAKE MAGNUS","VĪRIETIS",1
"AALIYAH FARAH YUSRA","SIEVIETE",1
"AALVIN","VĪRIETIS",1
"AAMINA","SIEVIETE",1
"AAMIR","VĪRIETIS",2
"AANAND","VĪRIETIS",2
"AARADHYA","SIEVIETE",1
"AARAV","VĪRIETIS",1
"AARAV RAHUL","VĪRIETIS",1
"AARIAN","VĪRIETIS",1
"AARNE","VĪRIETIS",1
"AARNO TAPANI","VĪRIETIS",1
"AARO HERMAN","VĪRIETIS",1
"AARO VILJAMI","VĪRIETIS",1
"AARON","VĪRIETIS",5
"AARON ALEXEEVICH","VĪRIETIS",1
"AARON BUTLER","VĪRIETIS",1
"AARON DANIEL","VĪRIETIS",2
"AARON JOEL","VĪRIETIS",1
"AARON LAURENCE","VĪRIETIS",1
"AARON LOUIS","VĪRIETIS",1
"AARON MARSH","VĪRIETIS",1
"AARON PETER","VĪRIETIS",1
"AARONS","VĪRIETIS",1
"AARONS DAVIDS IMMANUELS","VĪRIETIS",1
"AARONS FRANCIS","VĪRIETIS",1
"AARUSHI","SIEVIETE",1
"AARVII","SIEVIETE",1
"AASHI","SIEVIETE",1
"AASHIK AHMED","VĪRIETIS",1
"AASHINI KIMASHA","SIEVIETE",1
"AASHISH","VĪRIETIS",1
"AASHKA","SIEVIETE",1
"AATHIRA","SIEVIETE",1
"AATIF","VĪRIETIS",1
"AATU EMIL","VĪRIETIS",1
"AAYANSH RAHUL","VĪRIETIS",1
"AAYUSH","VĪRIETIS",2
"AAYUSHI","SIEVIETE",1
"ABA","VĪRIETIS",4
"ABA DAVIDS","VĪRIETIS",1
"ABADHE","VĪRIETIS",1
"ABAJS","VĪRIETIS",3
"ABAKARS","VĪRIETIS",2
"ABASINS","VĪRIETIS",1
"ABASS","VĪRIETIS",3
"ABASS ADELS","VĪRIETIS",1
"ABASS MUTANA ABASS","VĪRIETIS",1
"ABBAS","VĪRIETIS",7
"ABBAS ASSI","VĪRIETIS",1
"ABBAS SALIH MAAROUF","VĪRIETIS",1
"ABBASS","VĪRIETIS",1
"ABBOS","VĪRIETIS",16
"ABBOSJON","VĪRIETIS",2
"ABBOSKHON","VĪRIETIS",4
"ABBY NYEREE","SIEVIETE",1
"ABD ALBASET","VĪRIETIS",1
"ABD ALQADER","VĪRIETIS",1
"ABD ALRAHMAN","VĪRIETIS",2
"ABD-EL-MALICK","VĪRIETIS",1
"ABDALAZIZ JAMAL MOHAMMED","VĪRIETIS",1
"ABDALKARIM YOUSIF ABDALKARIM ABDALLA","VĪRIETIS",1
"ABDALLA MAGDI MAHMOUD AHMED IBRAHIM","VĪRIETIS",1
"ABDALLAH","VĪRIETIS",1
"ABDALLAH AHMED ALY ABDELKARIM","VĪRIETIS",1
"ABDALRAZIG","VĪRIETIS",1
"ABDELAZIZ","VĪRIETIS",1
"ABDELAZIZ RAMADAN ABDELAZIZ","VĪRIETIS",1
"ABDELDJALIL","VĪRIETIS",1
"ABDELHAFIZ","VĪRIETIS",1
"ABDELHAKS BOGDANS","VĪRIETIS",1
"ABDELHALIM","VĪRIETIS",1
"ABDELHAMID ELMAHDY ABDELHAMID","VĪRIETIS",1
"ABDELKADER","VĪRIETIS",1
"ABDELKAMEL","VĪRIETIS",1
"ABDELKARIM","VĪRIETIS",1
"ABDELKARIMS","VĪRIETIS",1
"ABDELKRIM","VĪRIETIS",1
"ABDELLAH","VĪRIETIS",2
"ABDELLATEF","VĪRIETIS",1
"ABDELLATIF","VĪRIETIS",1
"ABDELMAJID","VĪRIETIS",1
"ABDELMOHSEN AHMED ABDELMOHSEN MOHAMMED","VĪRIETIS",1
"ABDELMONEEM","VĪRIETIS",1
"ABDELMOUIZ","VĪRIETIS",1
"ABDELOUAFI","VĪRIETIS",1
"ABDELOUAHED","VĪRIETIS",1
"ABDELQADER MAJED HUSNI","VĪRIETIS",1
